Genome	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34
MAG01845_bin.89	13622	24559	14921	19663	13331	88841	15169	9224	15617	5194	19487	2151	8569	14581	21263	10338	94908	11978	0	17105	0	44927	9130	5281	6507	26096	8703	12511	8018	13410	13526	19629	11501	14185
MAG01845_bin.8	6734	490363	42374	1662247	0	184252	1669	92340	178217	0	2253	0	2764	0	68949	0	0	383921	0	65257	1802	2551	2373	0	2651	3334	11545	40877	0	0	2055	216323	529201	126885
MAG01845_bin.91	13898	44066	20848	13428	390	2184	11453	12825	11064	16718	9521	0	0	15673	16906	0	7612	39500	0	11460	0	563	1171	8143	0	9348	7402	0	392	43892	75782	0	34138	260
MAG01845_bin.92	0	1018	0	400137	0	43490	0	0	82068	0	0	0	92	0	629	0	1865	0	13	0	392	1091	0	300	200304	182	0	0	0	412	0	45870	0	34
MAG01845_bin.93	4471	10543	4073	10041	2951	8543	11945	3440	7453	2034	5007	0	0	2432	3666	0	1564724	5154	0	5405	10529	0	4184	0	5897	4603	5814	5617	105647	5463	8849	0	5477	4760
MAG01845_bin.94	0	325	0	0	1648	24270	0	90	0	469	21554	0	113193	93	0	96	2655	0	2115	0	63	1818	0	6080	1461	0	58552	47648	57646	153228	132437	129389	95	240
MAG01845_bin.98	0	0	0	0	150910	314695	0	788	0	0	0	0	0	0	28	0	1611	90	0	0	24	22952	0	29	0	69	0	0	0	13370	0	145	0	188
MAG01856_bin.100	334459	0	334417	0	542	0	0	0	0	0	97	0	0	136052	0	0	0	155507	0	0	247	0	161291	0	0	114615	0	332547	191	0	414	0	101	215
MAG01856_bin.103	2568681	1407	1254	1604	1801	1998	1164	2443	0	744	0	2606	0	2005	1324	586	0	799	0	0	256	1100	1405	0	250	175927	949	2781	1242	1221	0	826	1856	2039
MAG01856_bin.105	0	0	0	0	0	0	0	0	0	0	0	0	0	2864	76317	0	0	39912	0	89	0	0	0	0	0	34669	0	0	0	0	0	0	0	0
MAG01856_bin.107	0	1762	22171	4900	682	4525	1932	7944	2552	0	3907	93	1946	21832	1329	127782	1982	54037	0	3635	0	1245	17107	1318	1670	8456	0	0	1871	1884	1060	1727	932	1415
MAG01856_bin.108	15186	16595	18188	0	0	0	5701	5534	4234	0	1438	0	0	5846	6727	0	0	9429	0	0	0	0	15612	0	0	54994	11028	0	12	2628	0	4956	95	1963
MAG01856_bin.109	146888	0	143383	1080	25140	41173	0	75443	0	40	22708	0	172	0	152	0	26309	0	1473	0	0	0	0	644	0	0	0	0	95000	15919	9697	0	16505	149
MAG01856_bin.110	0	102	0	262	0	683	0	215	0	68	0	0	72	29539	13321	21686	394	29794	0	0	43	193	71215	0	95	0	358	1251	918	94	0	0	47	19
MAG01856_bin.111	2190	43715	235460	32933	20484	125983	26178	120548	6353	6996	14279	0	19802	318525	146875	5373	21574	241952	0	28376	5773	21358	138732	0	11674	63850	0	27449	16185	46743	27139	25747	16614	110913
MAG01856_bin.112	0	8294	0	10115	2363	0	1102	0	0	1205	3650	0	0	46570	3607	182	1593	2205	0	0	16	17332	0	464	0	0	0	34188	0	1674	0	0	43	9977
MAG01856_bin.113	510808	0	0	0	0	0	0	49414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13501	0
MAG01856_bin.114	54998	32439	0	0	0	0	15	103517	0	78	0	0	0	70154	0	0	0	113299	0	0	33	0	38	0	0	64	0	0	0	0	0	0	0	0
MAG01856_bin.115	1100	1517	36301	0	1183	0	644	46114	0	698	0	0	965	598	28838	1404	0	84216	0	0	420	3885	33933	193	493	13865	1150	900	1780	1250	0	0	428	2406
MAG01856_bin.116	36096	0	44950	8675	10249	5119	2306	43100	957	2957	95	0	792	10857	0	15943	6224	34256	295	0	0	8003	3808	0	11687	12343	1711	58505	17015	13670	11988	14784	0	945
MAG01856_bin.117	0	2451	0	4758	0	4901	2909	14762	0	0	2029	0	0	4988	0	217223	2965	1608	0	882	0	1681	0	582	1930	1024	4849	3274	2454	2304	2382	2423	1892	993
MAG01856_bin.118	0	0	0	0	0	0	0	0	0	0	0	0	0	13200	0	498676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
